Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
RES3D,R3D5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,233
RES3D,R3D5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,234
RES3E,R3E1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,235
RES3E,R3E1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,236
RES3E,R3E3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,237
RES3E,R3E3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,238
RES3E,R3E5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,239
RES3E,R3E5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,240
RES3F,R3F1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,241
RES3F,R3F1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,242
RES3F,R3F3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,243
RES3F,R3F3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,244
RES3F,R3F5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,245
RES3F,R3F5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,246
RES4,R4LN,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,,1,1,1,337
RES4,R4LB,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,1,1,1,1,338
RES4,R4MN,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,,1,1,1,339
RES4,R4MB,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,1,1,1,1,340
RES4,R4HN,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,,1,1,1,341
RES4,R4HB,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,85,1,1,1,1,342
RES5,R5LN,USACE - Galveston,"Average institutional dormitory, contents",Low Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,,1,1,1,343
RES5,R5LB,USACE - Galveston,"Average institutional dormitory, contents",Low Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,1,1,1,1,344
RES5,R5MN,USACE - Galveston,"Average institutional dormitory, contents",Mid Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,,1,1,1,345
RES5,R5MB,USACE - Galveston,"Average institutional dormitory, contents",Mid Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,1,1,1,1,346
RES5,R5HN,USACE - Galveston,"Average institutional dormitory, contents",High Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,,1,1,1,347
RES5,R5HB,USACE - Galveston,"Average institutional dormitory, contents",High Rise,RES6 default,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,1,1,1,1,348
RES6,R6LN,USACE - Galveston,"Nursing Home, contents (Equipment)",Low Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,,1,1,1,349
RES6,R6LB,USACE - Galveston,"Nursing Home, contents (Equipment)",Low Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,1,1,1,1,350
RES6,R6MN,USACE - Galveston,"Nursing Home, contents (Equipment)",Mid Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,,1,1,1,351
RES6,R6MB,USACE - Galveston,"Nursing Home, contents (Equipment)",Mid Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,1,1,1,1,352
RES6,R6HN,USACE - Galveston,"Nursing Home, contents (Equipment)",High Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,,1,1,1,353
RES6,R6HB,USACE - Galveston,"Nursing Home, contents (Equipment)",High Rise,,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,1,1,1,1,354
COM1,C1LN,USACE - Galveston,Average retail trade contents (Inventory/Equipment),Low Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,,1,1,1,355
COM1,C1LB,USACE - Galveston,Average retail trade contents (Inventory/Equipment),Low Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,1,1,1,1,356
COM1,C1MN,USACE - Galveston,Average retail trade contents (Inventory/Equipment),Mid Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,,1,1,1,357
COM1,C1MB,USACE - Galveston,Average retail trade contents (Inventory/Equipment),Mid Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,1,1,1,1,358
COM1,C1HN,USACE - Galveston,Average retail trade contents (Inventory/Equipment),High Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,,1,1,1,359
COM1,C1HB,USACE - Galveston,Average retail trade contents (Inventory/Equipment),High Rise,,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,90,1,1,1,1,360
COM2,C2LN,USACE - Galveston,"Average wholesale trade, Contents",Low Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,,1,1,1,361
COM2,C2LB,USACE - Galveston,"Average wholesale trade, Contents",Low Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,1,1,1,1,362
COM2,C2MN,USACE - Galveston,"Average wholesale trade, Contents",Mid Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,,1,1,1,363
COM2,C2MB,USACE - Galveston,"Average wholesale trade, Contents",Mid Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,1,1,1,1,364
COM2,C2HN,USACE - Galveston,"Average wholesale trade, Contents",High Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,,1,1,1,365
COM2,C2HB,USACE - Galveston,"Average wholesale trade, Contents",High Rise,,0,0,0,0,3,16,27,36,49,57,63,69,72,76,80,82,84,86,87,87,88,89,89,89,89,89,89,89,89,195,1,1,1,1,366
COM3,C3LN,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",Low Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,,1,1,1,367
COM3,C3LB,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",Low Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,1,1,1,1,368
COM3,C3MN,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",Mid Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,,1,1,1,369
COM3,C3MB,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",Mid Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,1,1,1,1,370
COM3,C3HN,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",High Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,,1,1,1,371
COM3,C3HB,USACE - Galveston,"Average personal/repair services, Contents (Invetory)",High Rise,,0,0,0,0,4,29,46,67,79,85,91,92,92,93,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,240,1,1,1,1,372
COM4,C4LN,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,,1,1,1,373
COM4,C4LB,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,1,1,1,1,374
COM4,C4MN,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,,1,1,1,375
COM4,C4MB,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,1,1,1,1,376
COM4,C4HN,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,,1,1,1,377
COM4,C4HB,USACE - Galveston,"Average Prof/Tech services, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,2,18,25,35,43,49,52,55,57,58,60,65,67,68,69,70,71,71,72,72,72,72,72,72,72,280,1,1,1,1,378
COM5,C5LN,USACE - Galveston,"Bank, Contents",Low Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,,1,1,1,379
COM5,C5LB,USACE - Galveston,"Bank, Contents",Low Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,1,1,1,1,380
COM5,C5MN,USACE - Galveston,"Bank, Contents",Mid Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,,1,1,1,381
COM5,C5MB,USACE - Galveston,"Bank, Contents",Mid Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,1,1,1,1,382
COM5,C5HN,USACE - Galveston,"Bank, Contents",High Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,,1,1,1,383
COM5,C5HB,USACE - Galveston,"Bank, Contents",High Rise,,0,0,0,0,0,50,74,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,304,1,1,1,1,384
COM6,C6LN,USACE - Galveston,"Hospital, Contents",Low Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,,1,1,1,385
COM6,C6LB,USACE - Galveston,"Hospital, Contents",Low Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,1,1,1,1,386
COM6,C6MN,USACE - Galveston,"Hospital, Contents",Mid Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,,1,1,1,387
COM6,C6MB,USACE - Galveston,"Hospital, Contents",Mid Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,1,1,1,1,388
COM6,C6HN,USACE - Galveston,"Hospital, Contents",High Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,,1,1,1,389
COM6,C6HB,USACE - Galveston,"Hospital, Contents",High Rise,,0,0,0,0,0,0,0,10,20,30,65,72,78,85,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,309,1,1,1,1,390
COM7,C7LN,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,,1,1,1,391
COM7,C7LB,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,1,1,1,1,392
COM7,C7MN,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,,1,1,1,393
COM7,C7MB,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,1,1,1,1,394
COM7,C7HN,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,,1,1,1,395
COM7,C7HB,USACE - Galveston,"Average Medical Offic/Clinic, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,0,28,51,60,63,67,71,72,74,77,81,86,92,94,97,99,100,100,100,100,100,100,100,100,100,312,1,1,1,1,396
COM8,C8LN,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,,1,1,1,397
COM8,C8LB,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",Low Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,1,1,1,1,398
COM8,C8MN,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,,1,1,1,399
COM8,C8MB,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",Mid Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,1,1,1,1,400
COM8,C8HN,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,,1,1,1,401
COM8,C8HB,USACE - Galveston,"Average Entertainment/Recreation, Contents (Equipment/Inventory)",High Rise,,0,0,0,0,13,45,55,64,73,77,80,82,83,85,87,89,90,91,92,93,94,95,96,96,96,96,96,96,96,322,1,1,1,1,402
COM9,C9LN,USACE - Galveston,"Theater, Contents (Equipment)",Low Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,,1,1,1,403
COM9,C9LB,USACE - Galveston,"Theater, Contents (Equipment)",Low Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,1,1,1,1,404
COM9,C9MN,USACE - Galveston,"Theater, Contents (Equipment)",Mid Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,,1,1,1,405
COM9,C9MB,USACE - Galveston,"Theater, Contents (Equipment)",Mid Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,1,1,1,1,406
COM9,C9HN,USACE - Galveston,"Theater, Contents (Equipment)",High Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,,1,1,1,407
COM9,C9HB,USACE - Galveston,"Theater, Contents (Equipment)",High Rise,,0,0,0,0,0,4,6,8,9,10,12,17,22,30,41,57,66,73,79,84,90,97,98,100,100,100,100,100,100,352,1,1,1,1,408
COM10,C10LN,USACE - Galveston,"Garage, Contents (Inventory)",Low Rise,,0,0,0,0,0,11,17,20,23,25,29,35,42,51,63,77,93,100,100,100,100,100,100,100,100,100,100,100,100,357,,1,1,1,409
